,name,name:en,inscription,geometry
348,Петру Сагайдачному,Petro Sahaidachny,,POINT (30.5185722 50.4631677)
349,Вечный огонь,,,POINT (34.2938805 45.4992947)
350,Памятник В.И.Ленину,,,POINT (34.2949453 45.5009726)
351,Алчевському О.К. пам'ятник,,,POINT (36.2370685 49.9988832)
352,Пам'ятник Івану Котляревському,Monument to Ivan Kotliarevskyi,,POINT (34.5543053 49.5857089)
353,Пам'ятник нескореним полтавчанам,Monument to undefeated Poltava citizens,,POINT (34.5521097 49.5842509)
354,Воїнам-афганцям,,,POINT (26.2473008 50.6173553)
355,"Робітникам ВАТ «Хімволокно», які загинули під час ВВВ",,,POINT (30.6408367 50.4545225)
356,ГАЗ-АА,,Автомобілю - трудівникові,POINT (37.84809 47.9923663)
357,Олень,,,POINT (37.8377532 47.96331)
358,Пам'ятник Скорботній матері,,,POINT (34.5324665 49.5788546)
359,Т.Г.Шевченко,T.Shevchenko,,POINT (38.4840314 48.9519575)
360,Памятник Пушкину А.С.,Pushkin Monument,,POINT (37.8015976 48.0019562)
361,Жінкам Донбасу,,,POINT (37.804225 48.0001602)
362,Ленін,,,POINT (38.2005022 47.9266901)
363,"Меморіал воїнам, що загинули у Другій світовій війні",,,POINT (36.3486858 49.955718)
364,Мемориал партизанам,,,POINT (34.0956606 44.531576)
365,Памятник Севастопольским партизанам,,,POINT (33.9452137 44.5017731)
366,Крест. 2000 Летиее крещения,,,POINT (34.1088169 44.5211234)
367,Братская могила,,,POINT (35.3850847 46.8616839)
368,"""Воїну-визволителю""",,,POINT (30.8494875 48.0450614)
369,"Могила латишського міліціонера, загиблого від рук повстанців",,,POINT (30.8487054 48.0446932)
370,Вічний вогонь,,,POINT (30.8488835 48.0448244)
371,Пам'ятник громадянської війни,,,POINT (30.8486472 48.0449276)
372,погибшим воинам и медицинскому персоналу санитарного поезда в ВОВ,,,POINT (30.8499754 48.041544)
373,Об'єднанню міста Первомайськ,,,POINT (30.8566362 48.0605624)
374,І.Я.Франко,I.Y.Franko,,POINT (38.4832936 48.9517761)
375,Воїнам-афганцям,,,POINT (31.2866394 51.4995941)
376,Паротяг Эл 2500,,,POINT (33.5316106 44.5954163)
377,Курган Безсмертя,,,POINT (30.6058278 50.4611822)
378,Ленін,,,POINT (38.298957 47.8249008)
379,Мемориал «Красный Флаг»,Red Flag Word War 2 memorial,,POINT (36.6289541 45.3797759)
380,"Братская могила советских воинов, 1943-44 гг.",World War 2 Monument,,POINT (36.6255338 45.3812091)
381,Мемориальная доска воинам десанта 1943 г.,World War 2 Memorial Sign,,POINT (36.6422021 45.3796776)
382,Футболістам матчу смерті,,,POINT (30.4801045 50.4556245)
383,Павшим за Родину,,,POINT (37.6073188 47.9656361)
384,Добрий ангел миру,,,POINT (37.7919938 47.9951463)
385,Могили борців за радянську владу,,,POINT (37.8040036 47.9905616)
386,Жертвам Холокосту,,Жертвам Холокоста 1941-1943. Да возвысятся их души…,POINT (37.7877671 47.987791)
387,Першому політичному страйку,,,POINT (37.7172431 47.9566852)
388,Пам'ятник ліквідаторам Чорнобильської аварії,,,POINT (30.5173879 50.4036524)
389,Пам'ятник Героям Буковинського Куреня,,,POINT (25.9411129 48.2912843)
390,Пам'ятник Міхаю Емінеску,,,POINT (25.9326492 48.2928844)
391,Пам'ятник Паулю Целану,,,POINT (25.9384835 48.2839799)
392,Лейтенантові Шмідту,,,POINT (36.786397 46.7546772)
393,Захисникам Вітчизни,,,POINT (30.3209563 46.505074)
394,Першобудівникам - перший куб бетону,,,POINT (30.3228558 46.5026946)
395,Ліквідаторам аварії на ЧАЕС,,,POINT (30.3214378 46.5038412)
396,Пам'ятник Зигіну,,,POINT (34.5306578 49.5992748)
397,Памятник Юрию Гагарину,,,POINT (30.6513459 50.4263604)
398,Пам'ятний знак про заснування Іловайська,,,POINT (38.198084 47.9248912)
399,Визволителям Іловайська,,,POINT (38.1979051 47.9257306)
400,Архімандритові Макарію Токаревському,,,POINT (31.4595822 49.7523157)
401,В'ячеславу Чорноволу,Viacheslav Chornovil,,POINT (30.5299706 50.4499868)
402,Тарасу Шевченку,,,POINT (30.5172307 50.4595737)
403,Тарас Шевченко,,,POINT (34.0903279 44.934873)
404,Георгію Гонгадзе,,,POINT (30.5228871 50.4189356)
405,Героям-чорнобильцям,Chornobyl Heroes,,POINT (38.5080846 48.9425636)
406,М-42,,,POINT (30.8429772 48.041064)
407,"Твоїм визволителям, Донбасе",,,POINT (37.8156664 48.0212767)
408,Могила поэта Волошина М.А.,,,POINT (35.2835593 44.9750269)
409,Івану Франку,Ivan Franko Monument,,POINT (30.5272727 50.4454091)
410,Захисникам Вітчизни,Defenders of the Fatherland,,POINT (37.5268039 47.0873976)
411,Утраченный памятник десанту 1943 г.,World War 2 memorial damaged by a landslide,,POINT (36.6441986 45.3807927)
412,Воїни-афганці,,,POINT (37.8140757 48.0214598)
413,Танк Т-34-85,,,POINT (37.8156023 48.0206706)
414,Танк Т-34-76,,,POINT (37.8156363 48.0206957)
415,С-60,,,POINT (37.8155596 48.0206435)
416,Пальма Мерцалова,,,POINT (37.8058777 48.0248601)
417,Шахтне колесо,,,POINT (37.8057221 48.025068)
418,Танк,,,POINT (37.8045304 48.0247803)
419,Пальма Мерцалова,Mertsalov Palm,,POINT (37.8013293 48.0080154)
420,Гринкевичу,,,POINT (37.803813 48.0053051)
421,Гурову,,,POINT (37.8038667 48.0048566)
422,Пам'ятник Василеві Стусу,Vasyl Stus Monument,,POINT (28.4507226 49.232777)
423,Архістратиг Михаїл,,,POINT (37.8045233 48.0105534)
424,Миколі Лисенку,Mykola Lysenko,,POINT (30.5132745 50.447017)
425,"Воїнам, полеглим в Афганістані",,"Громадянам Львівщини, полеглим у війні в Афганістані 1979-1989рр.",POINT (24.016296 49.8519255)
426,Планер А-11,,,POINT (35.2524071 44.9644)
427,Самолёт Ан-24,,,POINT (35.2521708 44.9622113)
428,Дегтярьову,,,POINT (37.7968935 48.0253283)
429,Пам’ятник невідомому солдату,,,POINT (31.7640837 50.2676205)
430,Вічний вогонь,,,POINT (31.7585862 50.2669699)
431,Меморіал героям-яготинцям,,,POINT (31.7636125 50.2683008)
432,Пам'ятник Чорнобильцям,,,POINT (30.3473993 50.4553279)
433,Івану Ткаченку,,,POINT (37.8081937 47.9742126)
434,Скіфська композиція,,,POINT (37.8034345 48.0071213)
435,Старшинам Армії УНР,,,POINT (30.4928628 50.5009685)
436,Воїнам автомобілістам і дорожникам,,Пам’ятний знак споруджено на честь 40-річчя перемоги у Великій Вітчизняній війні,POINT (30.5169712 50.4061564)
437,Захисникам кордонів,,,POINT (30.5141018 50.4511193)
438,К-700 Кіровець,,,POINT (39.4097705 48.6389767)
439,Т-34-85,,,POINT (28.1141435 49.0256477)
440,Пам'ятник афганцям,,,POINT (28.1146383 49.0260837)
441,Батарея Генериха,Generic Battery,,POINT (33.5503326 44.6083109)
442,Павшим в Балаклавском сражении 25.10.1854,,,POINT (33.6019067 44.5352035)
443,Поль О.М.,,,POINT (33.3414969 47.9033909)
444,Пам'ятник Тарасу Шевченко,,,POINT (33.3428494 47.9046557)
445,Капсула часу,,,POINT (37.8052513 48.002587)
446,Розстрілянимм патріотам міста,,,POINT (37.8000679 47.997456)
447,Колєсов Олександ Андрійович,,,POINT (36.1402241 50.073146)
448,Пам'ятник загиблим в II світовій війні,,,POINT (36.1243685 50.0925165)
449,"Харків'янам, загиблим в Афганістані",,,POINT (36.2251685 50.0120074)
450,Стела с золотым грифоном,Griffin Stela,,POINT (36.4745106 45.3527486)
451,"Радянським воїнам, викладачам і студентам",,,POINT (30.5040921 50.3842458)
452,Айвазовский И.К.,,,POINT (35.3829856 45.0322625)
453,Князь Святослав Хоробрий,,Великий князь Київської Русі Святослав Ігоревич Хоробрий (бл. 930 - 972 рр.). Вдячні нащадки.,POINT (35.1177261 47.8333951)
454,Памятник погибшим ликвидаторам аварии на ЧАЭС,,,POINT (37.3408396 48.2043269)
455,Тарас Шевченко,,,POINT (37.3381011 48.2002384)
456,Вернадському В. І.,,,POINT (30.3788505 50.4574073)
457,ІС-3М,,,POINT (33.2615058 47.881246)
458,Пам'ятник Йозефу Главці,Monument Joseph Hlavtsi,,POINT (25.9239749 48.2974844)
459,Жертвам голодомору,,,POINT (33.3509203 47.9056484)
460,М.Ю. Лермонтов 1814-1841,,,POINT (33.345957 47.9072373)
461,Весник Яків Ілліч,,,POINT (33.3924057 47.8841849)
462,Пам’ятник Борису Мартосу,,,POINT (34.5437411 49.5945438)
463,Пам’ятник Олексію Бутовському,,,POINT (34.5464653 49.5942111)
464,Пам'ятний знак на честь 60-річчя Великої Перемоги,,,POINT (34.5039667 49.5715911)
465,"Синам Полтавщини, загиблим в Афганістані",,,POINT (34.5032299 49.5678294)
466,Погибшим воинам,,,POINT (33.0796309 45.6601215)
467,В.И.Ленину,,,POINT (33.0807456 45.660562)
468,Василеві Каразіну,Vasily Karazin,,POINT (36.2277015 50.00472)
469,Меморіал жертвам тоталітаризму,,,POINT (36.262994 50.0808845)
470,Меморіал пам'яті жертв Голодомору 1932-1933 років,,,POINT (36.2651041 50.1027983)
471,"Монумент советским воинам, павшим в боях за освобождение Крыма",World War 2 memorial,,POINT (36.6366832 45.3819699)
472,Бюст Івана Скоропадського,,,POINT (32.812955 50.7863344)
473,Воинам интернационалистам,,,POINT (38.8873455 48.29395)
474,Памятный знак в честь 300-летия Российского флота,,,POINT (33.5169161 44.6130023)
475,В. И. Ленину,,,POINT (33.3695286 45.1902555)
476,Токареву Н. А.,,,POINT (33.3667496 45.1904513)
477,Тарас Григорьевич Шевченко,,,POINT (33.3541144 45.1887897)
478,Защитникам Севастополя,,,POINT (33.5244875 44.6160976)
479,"Памятник односельчанам, погибшим в годы Великой Отечественной войны",,,POINT (32.8439925 45.5828096)
480,Козак,,,POINT (37.3002732 48.1446199)
481,Франко,,,POINT (33.338417 45.1771496)
482,Пам'ятник афганцям,Memorial to the victims of the Afghanistan war,,POINT (26.5804979 48.6781078)
